name,lat,tmax,tmin,tm,rain
Tehran (Mehrabad Airport),35.6931,17.6,6.6,11.2,0
Tehran (Mehrabad Airport),35.6931,17.6,7.8,11.7,0
Tehran (Mehrabad Airport),35.6931,15.4,7.2,10.7,0
Tehran (Mehrabad Airport),35.6931,12.4,6,9.5,0
Tehran (Mehrabad Airport),35.6931,11.2,7.4,9.7,1.3
Tehran (Mehrabad Airport),35.6931,11.6,6.8,8.3,0
Tehran (Mehrabad Airport),35.6931,NaN,4,5.4,3.3
Tehran (Mehrabad Airport),35.6931,9,0,4.2,0
Tehran (Mehrabad Airport),35.6931,7.6,1.2,3.4,0
Tehran (Mehrabad Airport),35.6931,8,-1.2,3.1,0
Tehran (Mehrabad Airport),35.6931,6,-1.2,2,0
Tehran (Mehrabad Airport),35.6931,3.6,-1.2,0.9,0
Tehran (Mehrabad Airport),35.6931,5.2,0,2.2,0
Tehran (Mehrabad Airport),35.6931,5,-0.2,2.1,0
Tehran (Mehrabad Airport),35.6931,4.2,-0.8,1.7,0
Tehran (Mehrabad Airport),35.6931,3,-0.8,1,0.01
Tehran (Mehrabad Airport),35.6931,3.6,-1,-0.2,0.6
Tehran (Mehrabad Airport),35.6931,6,-4.8,1.3,0
Tehran (Mehrabad Airport),35.6931,5,-2.2,2.1,0
Tehran (Mehrabad Airport),35.6931,11,NaN,6.6,0
Tehran (Mehrabad Airport),35.6931,12.4,2.2,7.8,0
Tehran (Mehrabad Airport),35.6931,9.6,1,5,0
Tehran (Mehrabad Airport),35.6931,9,-0.8,4.5,0
Tehran (Mehrabad Airport),35.6931,11.2,1,6.1,0
Tehran (Mehrabad Airport),35.6931,11,3,6.7,0
Tehran (Mehrabad Airport),35.6931,9,5.6,6.9,0
Tehran (Mehrabad Airport),35.6931,12,5,8.4,0.4
Tehran (Mehrabad Airport),35.6931,NaN,2.2,4.4,8.9
Tehran (Mehrabad Airport),35.6931,5.4,0,1.6,9
Tehran (Mehrabad Airport),35.6931,5.4,-3.4,1.6,4
